,Date,Open,High,Low,Close,Adj Close,Volume,Stock Ticker
113,2006-05-01,9.318,10.22,7.5,8.372,4.343938,145029500,VEON
114,2006-06-01,8.586,9.648,7.9,9.164,4.754878,169004500,VEON
115,2006-07-01,9.29,9.754,8.564,9.64,5.001859,71684000,VEON
116,2006-08-01,9.63,11.02,9.372,10.864,5.6369489999999995,103814500,VEON
117,2006-09-01,11.02,12.702,11.02,12.118,6.287604,142735000,VEON
118,2006-10-01,12.218,13.406,11.672,13.198,6.847980000000001,68278500,VEON
119,2006-11-01,13.18,15.466,12.66,15.218,7.896087,70446500,VEON
120,2006-12-01,15.4,16.544001,14.74,15.79,8.192877000000001,87756000,VEON
121,2007-01-01,16.18,17.5,14.6,17.086,8.865325,75809000,VEON
122,2007-02-01,17.370001000000002,18.108,15.4,16.091998999999998,8.349574,74926000,VEON
123,2007-03-01,16.0,19.834,15.074,18.968,9.841828999999999,178573000,VEON
124,2007-04-01,19.040001,20.6,18.274,19.351999,10.041074,94933000,VEON
125,2007-05-01,19.306,21.195999,19.25,20.562,10.668901,105313500,VEON
126,2007-06-01,20.563999,22.48,18.9,21.072001,11.104493,67268500,VEON
127,2007-07-01,21.209999,23.716,19.700001,21.18,11.161406,72024500,VEON
128,2007-08-01,21.101999,25.549999,18.016001,24.4,12.858275,82859000,VEON
129,2007-09-01,24.309998999999998,29.0,23.950001,27.040001,14.249502,56031100,VEON
130,2007-10-01,27.01,35.0,26.18,33.07,17.427181,68426600,VEON
131,2007-11-01,31.940001000000002,36.34,28.6,33.599998,17.706476000000002,81844900,VEON
132,2007-12-01,34.0,45.48,32.75,41.599998,21.922307999999997,72513000,VEON
133,2008-01-01,42.57,44.389998999999996,28.99,34.400002,18.128063,95158600,VEON
134,2008-02-01,35.060001,39.0,31.379998999999998,34.73,18.301964,62531700,VEON
135,2008-03-01,34.5,36.099998,28.51,29.889999,15.751389000000001,74409400,VEON
136,2008-04-01,30.26,33.48,28.879998999999998,30.16,15.893671,68482300,VEON
137,2008-05-01,30.49,36.490002000000004,29.65,35.27,18.959131,73244700,VEON
138,2008-06-01,35.360001000000004,35.950001,29.030001000000002,29.68,15.954266,60477400,VEON
139,2008-07-01,29.059998999999998,29.200001,23.59,25.23,13.562201000000002,90467800,VEON
140,2008-08-01,25.129998999999998,25.93,21.66,24.030001000000002,12.917152,74437800,VEON
141,2008-09-01,24.82,25.5,16.84,20.299999,10.912114,122571500,VEON
142,2008-10-01,20.93,21.299999,6.39,14.5,7.7943679999999995,212853700,VEON
143,2008-11-01,14.31,19.16,6.75,9.5,5.106655,157821300,VEON
144,2008-12-01,8.5,9.77,6.89,7.16,3.8488059999999997,142401600,VEON
145,2009-01-01,7.4,9.49,5.86,6.09,3.273635,103728300,VEON
146,2009-02-01,6.0,7.15,4.95,5.24,2.8167240000000002,155138800,VEON
147,2009-03-01,5.19,7.47,4.81,6.54,3.515529,188228200,VEON
148,2009-04-01,6.68,10.86,6.43,9.42,5.063651,136677400,VEON
149,2009-05-01,9.12,13.94,9.12,13.06,7.020308,127848300,VEON
150,2009-06-01,13.45,14.17,9.78,11.77,6.326876,136657400,VEON
151,2009-07-01,11.92,13.64,9.63,13.51,7.262200999999999,101229400,VEON
152,2009-08-01,13.95,16.0,13.08,15.44,8.299657,70104500,VEON
153,2009-09-01,15.57,19.34,14.51,18.700001,10.052049,106643400,VEON
154,2009-10-01,18.620001000000002,21.049999,16.129998999999998,17.93,9.63814,121185000,VEON
155,2009-11-01,18.24,22.549999,17.809998999999998,19.09,10.261689,65228100,VEON
156,2009-12-01,19.5,20.299999,17.5,18.59,10.162642,56337800,VEON
157,2010-01-01,18.969998999999998,21.299999,18.02,18.139999,9.916639,50302600,VEON
158,2010-02-01,18.33,20.110001,16.280001000000002,18.549999,10.140775,56279500,VEON
159,2010-03-01,18.6,20.379998999999998,16.700001,18.41,10.064241,162684000,VEON
160,2010-04-01,18.639999,19.280001000000002,15.82,17.42,9.523037,116175000,VEON
161,2010-05-01,17.49,17.860001,12.32,15.55,8.500757,77365200,VEON
162,2010-06-01,15.32,17.440001000000002,14.5,16.18,8.84516,47488100,VEON
163,2010-07-01,15.93,16.950001,15.19,16.309998999999998,8.916227000000001,41374600,VEON
164,2010-08-01,16.559998999999998,17.84,14.08,14.95,8.172755,62204900,VEON
165,2010-09-01,15.25,15.34,14.1,14.85,8.118088,58367300,VEON
166,2010-10-01,14.88,15.39,13.85,15.33,8.380489,81392600,VEON
167,2010-11-01,15.38,16.379998999999998,15.1,15.67,8.566359,74095500,VEON
168,2010-12-01,15.67,15.79,14.14,15.04,8.475277,68924600,VEON
169,2011-01-01,15.09,15.76,13.2,13.84,7.799059,75338300,VEON
170,2011-02-01,13.98,14.69,13.66,14.12,7.956842,51960500,VEON
171,2011-03-01,14.12,14.9,13.53,14.12,7.956842,63327300,VEON
172,2011-04-01,14.21,14.62,14.04,14.57,8.321061,35108500,VEON
173,2011-05-01,14.46,14.74,13.6,14.08,8.041217,41336300,VEON
174,2011-06-01,13.98,14.32,12.54,12.76,7.367493,67766900,VEON
175,2011-07-01,12.86,13.31,11.75,12.4,7.159632000000001,70303300,VEON
176,2011-08-01,12.59,12.63,9.99,11.43,6.599564,91161300,VEON
177,2011-09-01,11.55,11.66,9.32,9.53,5.502523,72938400,VEON
178,2011-10-01,9.57,11.83,8.83,10.98,6.339738,66760300,VEON
179,2011-11-01,10.67,11.92,10.23,11.92,6.882485000000001,58472200,VEON
180,2011-12-01,11.95,12.15,9.27,9.47,5.686014,50817200,VEON
181,2012-01-01,9.75,10.85,9.5,10.66,6.400518,30449000,VEON
182,2012-02-01,10.9,12.55,10.69,12.17,7.307158,34433400,VEON
183,2012-03-01,12.24,12.32,10.39,11.16,6.700730999999999,63424800,VEON
184,2012-04-01,11.36,11.51,9.8,10.19,6.1183190000000005,32835400,VEON
185,2012-05-01,10.21,10.36,7.05,7.37,4.425123999999999,50965800,VEON
186,2012-06-01,7.35,8.25,7.1,8.11,4.869438,33651800,VEON
187,2012-07-01,8.21,8.83,7.62,8.39,5.037557,35572300,VEON
188,2012-08-01,8.4,10.89,8.4,10.63,6.382505999999999,49169800,VEON
189,2012-09-01,10.6,12.07,10.49,11.9,7.145044,45078100,VEON
190,2012-10-01,11.84,12.4,10.56,11.02,6.616671000000001,31621700,VEON
191,2012-11-01,11.12,11.4,9.9,10.58,6.352485,27903700,VEON
192,2012-12-01,10.57,11.5,10.19,10.49,6.298447,23121000,VEON
193,2013-01-01,10.72,12.29,10.5,12.01,7.785108999999999,29226100,VEON
194,2013-02-01,12.11,12.6,11.55,11.94,7.739733,21142300,VEON
195,2013-03-01,11.81,12.82,11.4,11.89,7.707321,26432500,VEON
196,2013-04-01,11.86,12.6,10.91,10.95,7.097996000000001,41660300,VEON
197,2013-05-01,10.99,11.38,9.81,9.95,7.11159,28181700,VEON
198,2013-06-01,9.91,10.58,9.56,10.06,7.190212,23759000,VEON
